Rank,Network,Address,Prizes,Balance,Winrate
114,0xefb757014ac0e59facc070e2b2f5b34be6ca6c76,polygon,11,30,36.67%
115,0xddb54301279ace9c2e004f3cc34a301bbafed24f,polygon,334,1242,36.36%
116,0x3aecd5fded57227ceee4258921f393c098a79902,polygon,35,132,36.26%
117,0x961d63f796aa1fb2218fa8b5d9c06d3354773ccd,ethereum,3602,10100,36.02%
118,0x15404b45517abf78cc4b77459c4883f551f105f3,polygon,10,28,35.62%
119,0x2cf0ca740adabb1f69d541084e0e883512c1549e,polygon,50,141,35.46%
120,0xdbd4d035782e6cd9c234d451d342c4a4fc357140,polygon,1074,4123,35.21%
121,0x3843dd8e25bdc5d00d67400bb7be6c3aa525d5fa,polygon,113,438,34.77%
122,0x501d66e0b4254de6187443b9cdb744e2752f489e,ethereum,141,408,34.60%
123,0x6e2b5725f1b2222a9acf63742b4a98a11adbb204,ethereum,203,600,33.83%
124,0xc40d92274004f749fb73e9b206687d88a1ad8b2e,polygon,102,405,33.50%
125,0xb4b5eb3d4a8601fd5b959d732c26f3c13f655ae9,polygon,33,132,33.00%
126,0xdb668948e1e96db9aa760d0ba2811f9904c50b7c,polygon,66,267,32.82%
127,0xf81cf588c563c4134b26eac8dd468aba887f41b5,polygon,3201,13092,32.01%
128,0x20507895512019851f19cc9906e4a8d460cfe711,polygon,111,464,31.43%
129,0x7c792462350ef7e870da112fed29cca6fa4807f9,polygon,142,597,31.22%
130,0x97255e94f490a76b78d01f54a75d88221f739f6e,polygon,62,262,30.86%
131,0x04c97fcf119e7c3483869b4f11f2c3168558fa0f,polygon,2545,10783,30.85%
132,0x454e03bed1c6623f487708ff8bfd0cf1387dab32,polygon,2576,10957,30.66%
133,0x306a222a9e2bbb65db069fdefd7ab5d515dfa7bb,polygon,2718,11686,30.09%
134,0x01e49a96dcf1eee6a4095f22b68150d5fea8e0a8,polygon,15,65,30.00%
135,0xbe80d8c96c0d5b5aed63b370b495650f30be3724,polygon,2970,12879,29.97%
136,0xb68037da5a373b739cf61f110468db4df60e35c8,polygon,2959,12979,29.45%
137,0x0d19c80723d6f00f4aa7ca9ee9e5b305f6ba662d,polygon,20,88,29.37%
138,0x187dcdaac283c78f95a8c2ef3ba611b958f4f3e8,polygon,3377,15053,28.92%
139,0xd04d8d6adcd5eb64febf3423f42ac04e2c8e0cd5,polygon,5,22,28.88%
140,0x7c9f3e156cd790f07cc4691fad4c70bfed17a8c3,polygon,128,573,28.76%
141,0x8632e5f7846d8cce3e36434321814ea7b83b18c3,polygon,100,450,28.57%
142,0x74060aebcddace26962f5614f12428c70e2492ca,polygon,2851,12834,28.51%
143,0xc11997d1b87c88468f4b8488b5f8c05c10d2b9ca,polygon,10,45,28.47%
144,0x3f39a31f3ee244ee553fbdee44ee8a499a2d6d23,polygon,11,49,28.13%
145,0x564fc5027be63048121d54608cabf441e1f63473,polygon,63,286,28.12%
146,0x5f6ff76b0ac3b9dad67764795b97b86bbb744039,polygon,71,324,28.12%
147,0xd5334ea5628737abc3b789ad53900d2deabcf541,polygon,309,1101,28.07%
148,0x42e059464f3ba130da6abafee7ad2efe17467e35,polygon,5536,25526,27.67%
149,0xe3d799b498b5f307ba252a9f609e93a2faf37172,polygon,2764,12755,27.63%
150,0x5aeac7009e61c6703aea094a3fe553dfc943bddd,polygon,11,40,27.51%
151,0x52eaa3345a9b68d3b5d52da2fd47ebfc5ed11d4e,polygon,110,400,27.50%
